ORDER	ARTIST	ALBUM	TRACK
31347	Beck	Stereopathetic Soulmanure	15 - 11.6.45.flac
31347	Beck	Stereopathetic Soulmanure	16 - Cut 1-2 Blues.flac
31347	Beck	Stereopathetic Soulmanure	17 - Jagermeister Pie.flac
31347	Beck	Stereopathetic Soulmanure	18 - Ozzy.flac
31347	Beck	Stereopathetic Soulmanure	19 - Dead Wild Cat.flac
31347	Beck	Stereopathetic Soulmanure	20 - Satan Gave Me A Taco.flac
31347	Beck	Stereopathetic Soulmanure	21 - 8.4.82.flac
31347	Beck	Stereopathetic Soulmanure	22 - Tasergun.flac
31347	Beck	Stereopathetic Soulmanure	23 - Modesto.flac
31347	Beck	Stereopathetic Soulmanure	24 - Bonus Noise 1.flac
31347	Beck	Stereopathetic Soulmanure	25 - Bonus Noise 2.flac
31347	Beethoven	Symphony No. 9- National Public Radio Milestones Of The Millennium	01 - Symphony No. 9 In D Minor, Op. 125, 'Choral' - 1. Allegro Ma Non.flac
31347	Beethoven	Symphony No. 9- National Public Radio Milestones Of The Millennium	02 - Symphony No. 9 In D Minor, Op. 125, 'Choral' - 2. Molto Vivace.flac
31347	Beethoven	Symphony No. 9- National Public Radio Milestones Of The Millennium	03 - Symphony No. 9 In D Minor, Op. 125, 'Choral' - 3. Adagio Molto.flac
31347	Beethoven	Symphony No. 9- National Public Radio Milestones Of The Millennium	04 - Symphony No. 9 In D Minor, Op. 125, 'Choral' - 4. Presto.flac
31347	Beethoven	Symphony No. 9- National Public Radio Milestones Of The Millennium	05 - Symphony No. 9 In D Minor, Op. 125, 'Choral' - 5. O Freunde, Nicht.flac
31347	Black Sabbath	Paranoid	01 - War Pigs.flac
31347	Black Sabbath	Paranoid	02 - Paranoid.flac
31347	Black Sabbath	Paranoid	03 - Planet Caravan.flac
31347	Black Sabbath	Paranoid	04 - Iron Man.flac
31347	Black Sabbath	Paranoid	05 - Electric Funeral.flac
31347	Black Sabbath	Paranoid	06 - Hand Of Doom.flac
31347	Black Sabbath	Paranoid	07 - Rat Salad.flac
31347	Black Sabbath	Paranoid	08 - Jack The Stripper-Fairies Wear Boots.flac
31347	Blue Oyster Cult	Career Of Evil	01 - Cities On Flame.flac
31347	Blue Oyster Cult	Career Of Evil	02 - The Red And The Black.flac
31347	Blue Oyster Cult	Career Of Evil	03 - Hot Rails To Hell.flac
31347	Blue Oyster Cult	Career Of Evil	04 - Dominance And Submission.flac
31347	Blue Oyster Cult	Career Of Evil	05 - 7 Screaming Diz-Busters.flac
31347	Blue Oyster Cult	Career Of Evil	06 - Me 262.flac
31347	Blue Oyster Cult	Career Of Evil	07 - E.T.I. (Extra Terrestrial Intelligence).flac
31347	Blue Oyster Cult	Career Of Evil	08 - Beat 'Em Up.flac
31347	Blue Oyster Cult	Career Of Evil	09 - Black Blade.flac
31347	Blue Oyster Cult	Career Of Evil	10 - Harvester Of Eyes.flac
31347	Blue Oyster Cult	Career Of Evil	11 - Flaming Telepaths.flac
31347	Blue Oyster Cult	Career Of Evil	12 - Godzilla.flac
31347	Blue Oyster Cult	Career Of Evil	13 - (Don't Fear) The Reaper.flac
31347	Bob Dylan & The Grateful Dead	Dylan & The Dead	01 - Slow Train.flac
31347	Bob Dylan & The Grateful Dead	Dylan & The Dead	02 - I Want You.flac
31347	Bob Dylan & The Grateful Dead	Dylan & The Dead	03 - Gotta Serve Somebody.flac
31347	Bob Dylan & The Grateful Dead	Dylan & The Dead	04 - Queen Jane Approximately.flac
31347	Bob Dylan & The Grateful Dead	Dylan & The Dead	05 - Joey.flac
31347	Bob Dylan & The Grateful Dead	Dylan & The Dead	06 - All Along The Watchtower.flac
31347	Bob Dylan & The Grateful Dead	Dylan & The Dead	07 - Knockin' On Heaven's Door.flac
31347	Bob Dylan	Greatest Hits, Bob Dylan	01 - Rainy Day Women #12 & 35.flac
31347	Bob Dylan	Greatest Hits, Bob Dylan	02 - Blowin' In The Wind.flac
31347	Bob Dylan	Greatest Hits, Bob Dylan	03 - The Times They Are A-Changin'.flac
31347	Bob Dylan	Greatest Hits, Bob Dylan	04 - It Ain't Me Babe.flac
31347	Bob Dylan	Greatest Hits, Bob Dylan	05 - Like A Rolling Stone.flac
